antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,zhangs_metric,jaccard,certainty,kulczynski
ClaimAmount_medium,ClaimDate_unknown_date,0.2,1.0,0.2,1.0,1.0,1.0,0.0,0.0,0.2,0.0,0.6
"ClaimAmount_high, PatientIncome_very_high_income",ClaimDate_unknown_date,0.16,1.0,0.16,1.0,1.0,1.0,0.0,0.0,0.16,0.0,0.58
ProcedureCode_medium,ClaimDate_unknown_date,0.29,1.0,0.29,1.0,1.0,1.0,0.0,0.0,0.29,0.0,0.65
ProcedureCode_high,ClaimDate_unknown_date,0.31,1.0,0.31,1.0,1.0,1.0,0.0,0.0,0.31,0.0,0.65
ProcedureCode_very_high,ClaimDate_unknown_date,0.2,1.0,0.2,1.0,1.0,1.0,0.0,0.0,0.2,0.0,0.6
"ProcedureCode_very_high, DiagnosisCode_very_high",ClaimDate_unknown_date,0.2,1.0,0.2,1.0,1.0,1.0,0.0,0.0,0.2,0.0,0.6
"ProcedureCode_high, DiagnosisCode_high",ClaimDate_unknown_date,0.3,1.0,0.3,1.0,1.0,1.0,0.0,0.0,0.3,0.0,0.65
"DiagnosisCode_medium, ProcedureCode_medium",ClaimDate_unknown_date,0.29,1.0,0.29,1.0,1.0,1.0,0.0,0.0,0.29,0.0,0.65
"DiagnosisCode_low, ProcedureCode_low",ClaimDate_unknown_date,0.2,1.0,0.2,1.0,1.0,1.0,0.0,0.0,0.2,0.0,0.6
"PatientIncome_very_high_income, ProcedureCode_medium",DiagnosisCode_medium,0.1,0.29,0.1,1.0,3.41,1.0,0.07,0.79,0.35,1.0,0.68
"PatientIncome_very_high_income, ProcedureCode_high",ClaimDate_unknown_date,0.12,1.0,0.12,1.0,1.0,1.0,0.0,0.0,0.12,0.0,0.56
"PatientIncome_very_high_income, ProcedureCode_medium",ClaimDate_unknown_date,0.1,1.0,0.1,1.0,1.0,1.0,0.0,0.0,0.1,0.0,0.55
"PatientIncome_very_high_income, DiagnosisCode_high",ClaimDate_unknown_date,0.12,1.0,0.12,1.0,1.0,1.0,0.0,0.0,0.12,0.0,0.56
"DiagnosisCode_medium, PatientIncome_very_high_income",ClaimDate_unknown_date,0.1,1.0,0.1,1.0,1.0,1.0,0.0,0.0,0.1,0.0,0.55
"DiagnosisCode_low, ClaimAmount_medium",ClaimDate_unknown_date,0.1,1.0,0.1,1.0,1.0,1.0,0.0,0.0,0.1,0.0,0.55
"PatientIncome_very_high_income, PatientAge_elderly",ClaimDate_unknown_date,0.11,1.0,0.11,1.0,1.0,1.0,0.0,0.0,0.11,0.0,0.56
"ProcedureCode_very_high, DiagnosisCode_very_high",ClaimAmount_very_high,0.2,0.29,0.2,1.0,3.4,1.0,0.14,0.88,0.68,1.0,0.84
"ProcedureCode_very_high, ClaimAmount_very_high",ClaimDate_unknown_date,0.2,1.0,0.2,1.0,1.0,1.0,0.0,0.0,0.2,0.0,0.6
"ProcedureCode_low, ClaimAmount_medium",ClaimDate_unknown_date,0.1,1.0,0.1,1.0,1.0,1.0,0.0,0.0,0.1,0.0,0.55
DiagnosisCode_very_high,"ClaimAmount_very_high, ClaimDate_unknown_date",0.2,0.29,0.2,1.0,3.4,1.0,0.14,0.88,0.68,1.0,0.84
"DiagnosisCode_very_high, ClaimDate_unknown_date",ClaimAmount_very_high,0.2,0.29,0.2,1.0,3.4,1.0,0.14,0.88,0.68,1.0,0.84
"ClaimAmount_very_high, DiagnosisCode_very_high",ClaimDate_unknown_date,0.2,1.0,0.2,1.0,1.0,1.0,0.0,0.0,0.2,0.0,0.6
"ClaimAmount_very_high, PatientIncome_very_high_income",ClaimDate_unknown_date,0.11,1.0,0.11,1.0,1.0,1.0,0.0,0.0,0.11,0.0,0.56
"ClaimAmount_high, ProcedureCode_high",ClaimDate_unknown_date,0.21,1.0,0.21,1.0,1.0,1.0,0.0,0.0,0.21,0.0,0.61
"ClaimAmount_high, ProcedureCode_medium",ClaimDate_unknown_date,0.2,1.0,0.2,1.0,1.0,1.0,0.0,0.0,0.2,0.0,0.6
"ClaimAmount_high, DiagnosisCode_high",ClaimDate_unknown_date,0.21,1.0,0.21,1.0,1.0,1.0,0.0,0.0,0.21,0.0,0.61
"DiagnosisCode_medium, ClaimAmount_high",ClaimDate_unknown_date,0.19,1.0,0.19,1.0,1.0,1.0,0.0,0.0,0.19,0.0,0.6
ProcedureCode_low,ClaimDate_unknown_date,0.2,1.0,0.2,1.0,1.0,1.0,0.0,0.0,0.2,0.0,0.6
DiagnosisCode_very_high,ClaimDate_unknown_date,0.2,1.0,0.2,1.0,1.0,1.0,0.0,0.0,0.2,0.0,0.6
DiagnosisCode_high,ClaimDate_unknown_date,0.31,1.0,0.31,1.0,1.0,1.0,0.0,0.0,0.31,0.0,0.65
DiagnosisCode_very_high,ClaimAmount_very_high,0.2,0.29,0.2,1.0,3.4,1.0,0.14,0.88,0.68,1.0,0.84
"PatientIncome_very_high_income, ProcedureCode_high, DiagnosisCode_high",ClaimDate_unknown_date,0.12,1.0,0.12,1.0,1.0,1.0,0.0,0.0,0.12,0.0,0.56
"PatientIncome_very_high_income, ProcedureCode_medium","DiagnosisCode_medium, ClaimDate_unknown_date",0.1,0.29,0.1,1.0,3.41,1.0,0.07,0.79,0.35,1.0,0.68
"PatientIncome_very_high_income, ProcedureCode_medium, ClaimDate_unknown_date",DiagnosisCode_medium,0.1,0.29,0.1,1.0,3.41,1.0,0.07,0.79,0.35,1.0,0.68
ClaimAmount_high,ClaimDate_unknown_date,0.41,1.0,0.41,1.0,1.0,1.0,0.0,0.0,0.41,0.0,0.7
"DiagnosisCode_medium, PatientIncome_very_high_income, ProcedureCode_medium",ClaimDate_unknown_date,0.1,1.0,0.1,1.0,1.0,1.0,0.0,0.0,0.1,0.0,0.55
"ProcedureCode_very_high, DiagnosisCode_very_high","ClaimAmount_very_high, ClaimDate_unknown_date",0.2,0.29,0.2,1.0,3.4,1.0,0.14,0.88,0.68,1.0,0.84
"ProcedureCode_very_high, DiagnosisCode_very_high, ClaimDate_unknown_date",ClaimAmount_very_high,0.2,0.29,0.2,1.0,3.4,1.0,0.14,0.88,0.68,1.0,0.84
"ProcedureCode_very_high, ClaimAmount_very_high, DiagnosisCode_very_high",ClaimDate_unknown_date,0.2,1.0,0.2,1.0,1.0,1.0,0.0,0.0,0.2,0.0,0.6
"ClaimAmount_high, ProcedureCode_high, DiagnosisCode_high",ClaimDate_unknown_date,0.21,1.0,0.21,1.0,1.0,1.0,0.0,0.0,0.21,0.0,0.61
ClaimAmount_very_high,ClaimDate_unknown_date,0.29,1.0,0.29,1.0,1.0,1.0,0.0,0.0,0.29,0.0,0.65
DiagnosisCode_medium,ClaimDate_unknown_date,0.29,1.0,0.29,1.0,1.0,1.0,0.0,0.0,0.29,0.0,0.65
"ClaimAmount_high, PatientAge_elderly",ClaimDate_unknown_date,0.13,1.0,0.13,1.0,1.0,1.0,0.0,0.0,0.13,0.0,0.56
"DiagnosisCode_medium, ClaimAmount_high, ProcedureCode_medium",ClaimDate_unknown_date,0.19,1.0,0.19,1.0,1.0,1.0,0.0,0.0,0.19,0.0,0.6
"DiagnosisCode_low, ProcedureCode_low, ClaimAmount_medium",ClaimDate_unknown_date,0.1,1.0,0.1,1.0,1.0,1.0,0.0,0.0,0.1,0.0,0.55
PatientAge_minor,ClaimDate_unknown_date,0.18,1.0,0.18,1.0,1.0,1.0,0.0,0.0,0.18,0.0,0.59
PatientAge_young_adult,ClaimDate_unknown_date,0.12,1.0,0.12,1.0,1.0,1.0,0.0,0.0,0.12,0.0,0.56
PatientAge_middle_age,ClaimDate_unknown_date,0.19,1.0,0.19,1.0,1.0,1.0,0.0,0.0,0.19,0.0,0.59
PatientAge_senior,ClaimDate_unknown_date,0.2,1.0,0.2,1.0,1.0,1.0,0.0,0.0,0.2,0.0,0.6
PatientAge_elderly,ClaimDate_unknown_date,0.31,1.0,0.31,1.0,1.0,1.0,0.0,0.0,0.31,0.0,0.65
PatientIncome_low_income,ClaimDate_unknown_date,0.15,1.0,0.15,1.0,1.0,1.0,0.0,0.0,0.15,0.0,0.58
PatientIncome_medium_income,ClaimDate_unknown_date,0.23,1.0,0.23,1.0,1.0,1.0,0.0,0.0,0.23,0.0,0.62
PatientIncome_high_income,ClaimDate_unknown_date,0.25,1.0,0.25,1.0,1.0,1.0,0.0,0.0,0.25,0.0,0.62
PatientIncome_very_high_income,ClaimDate_unknown_date,0.37,1.0,0.37,1.0,1.0,1.0,0.0,0.0,0.37,0.0,0.68
DiagnosisCode_low,ClaimDate_unknown_date,0.2,1.0,0.2,1.0,1.0,1.0,0.0,0.0,0.2,0.0,0.6
"ClaimAmount_high, ProcedureCode_high","ClaimDate_unknown_date, DiagnosisCode_high",0.21,0.31,0.21,1.0,3.26,1.0,0.15,0.88,0.69,1.0,0.85
"ClaimAmount_high, ProcedureCode_high",DiagnosisCode_high,0.21,0.31,0.21,1.0,3.26,1.0,0.15,0.88,0.69,1.0,0.85
"ClaimAmount_high, ProcedureCode_high, ClaimDate_unknown_date",DiagnosisCode_high,0.21,0.31,0.21,1.0,3.26,1.0,0.15,0.88,0.69,1.0,0.85
"ProcedureCode_very_high, ClaimDate_unknown_date",ClaimAmount_very_high,0.2,0.29,0.2,1.0,3.4,1.0,0.14,0.88,0.68,1.0,0.84
ProcedureCode_very_high,"ClaimAmount_very_high, ClaimDate_unknown_date",0.2,0.29,0.2,1.0,3.4,1.0,0.14,0.88,0.68,1.0,0.84
ProcedureCode_very_high,ClaimAmount_very_high,0.2,0.29,0.2,1.0,3.4,1.0,0.14,0.88,0.68,1.0,0.84
DiagnosisCode_low,ProcedureCode_low,0.2,0.2,0.2,1.0,4.99,1.0,0.16,1.0,1.0,1.0,1.0
"ProcedureCode_very_high, ClaimAmount_very_high","DiagnosisCode_very_high, ClaimDate_unknown_date",0.2,0.2,0.2,1.0,4.99,1.0,0.16,1.0,1.0,1.0,1.0
"ProcedureCode_low, ClaimDate_unknown_date",DiagnosisCode_low,0.2,0.2,0.2,1.0,4.99,1.0,0.16,1.0,1.0,1.0,1.0
DiagnosisCode_very_high,ProcedureCode_very_high,0.2,0.2,0.2,1.0,4.98,1.0,0.16,1.0,1.0,1.0,1.0
ProcedureCode_low,DiagnosisCode_low,0.2,0.2,0.2,1.0,4.99,1.0,0.16,1.0,1.0,1.0,1.0
"ProcedureCode_very_high, ClaimAmount_very_high, ClaimDate_unknown_date",DiagnosisCode_very_high,0.2,0.2,0.2,1.0,4.99,1.0,0.16,1.0,1.0,1.0,1.0
"ClaimAmount_very_high, DiagnosisCode_very_high, ClaimDate_unknown_date",ProcedureCode_very_high,0.2,0.2,0.2,1.0,4.98,1.0,0.16,1.0,1.0,1.0,1.0
"ClaimAmount_very_high, DiagnosisCode_very_high",ProcedureCode_very_high,0.2,0.2,0.2,1.0,4.98,1.0,0.16,1.0,1.0,1.0,1.0
DiagnosisCode_very_high,"ProcedureCode_very_high, ClaimDate_unknown_date",0.2,0.2,0.2,1.0,4.98,1.0,0.16,1.0,1.0,1.0,1.0
"DiagnosisCode_low, ClaimDate_unknown_date",ProcedureCode_low,0.2,0.2,0.2,1.0,4.99,1.0,0.16,1.0,1.0,1.0,1.0
"ClaimAmount_very_high, DiagnosisCode_very_high","ProcedureCode_very_high, ClaimDate_unknown_date",0.2,0.2,0.2,1.0,4.98,1.0,0.16,1.0,1.0,1.0,1.0
"DiagnosisCode_very_high, ClaimDate_unknown_date","ProcedureCode_very_high, ClaimAmount_very_high",0.2,0.2,0.2,1.0,4.99,1.0,0.16,1.0,1.0,1.0,1.0
DiagnosisCode_very_high,"ProcedureCode_very_high, ClaimAmount_very_high",0.2,0.2,0.2,1.0,4.99,1.0,0.16,1.0,1.0,1.0,1.0
